Designator,Mid X,Mid Y,Rotation,Layer
C1,128.778,-75.692,270.0,top
C2,142.5702,-79.4258,0.0,top
C3,153.5938,-94.2746,90.0,top
C4,131.1148,-75.692,270.0,top
C5,155.7528,-94.2746,90.0,top
C6,155.702,-82.9868,90.0,top
C7,153.5938,-88.6206,90.0,top
C8,153.6446,-82.997,90.0,top
C9,155.7274,-88.6104,90.0,top
J1,154.305,-120.9598,180.0,top
M1,142.6218,-92.077,0.0,top
Q1,129.9718,-82.9587,0.0,top
R1,137.2362,-108.0789,90.0,top
R2,145.542,-108.0535,90.0,top
R3,141.3764,-108.0751,90.0,top
R4,139.319,-108.077,90.0,top
R5,147.6248,-108.0516,90.0,top
R6,143.4592,-108.0732,90.0,top
SW1,127.8435,-56.2102,180.0,top
SW2,144.3736,-56.2102,0.0,top
SW3,158.0589,-56.2102,0.0,top
SW4,125.1712,-106.5276,0.0,top
U1,151.6634,-112.6236,180.0,top
U2,125.4002,-129.7432,0.0,top
U3,142.1598,-124.1546,180.0,bottom
U4,142.1638,-118.9482,180.0,bottom
